maximum number of tiles in grid [#],GLOBE size [B],GLOBE+NE size [B],GSHHG size [B],NE size [B],"OS Terrain 50" size [B],total size [B]
2,0,0,71019,49806,0,120825
3,0,0,71019,49806,0,120825
4,0,0,71019,49806,0,120825
5,0,0,71019,49806,0,120825
6,0,0,71019,49806,0,120825
7,0,0,71019,49806,0,120825
8,0,0,203231,192578,0,395809
9,0,0,203231,192578,0,395809
10,0,0,203231,192578,0,395809
11,0,0,203231,192578,0,395809
12,0,0,203231,192578,0,395809
13,0,0,203231,192578,0,395809
14,0,0,203231,192578,0,395809
15,0,0,203231,192578,0,395809
16,0,0,203231,192578,0,395809
17,0,0,203231,192578,0,395809
18,0,0,203231,192578,0,395809
19,0,0,203231,192578,0,395809
20,0,0,203231,192578,0,395809
21,0,0,203231,192578,0,395809
22,0,0,203231,192578,0,395809
23,0,0,203231,192578,0,395809
24,0,0,203231,192578,0,395809
25,0,0,203231,192578,0,395809
26,0,0,203231,192578,0,395809
27,0,0,203231,192578,0,395809
28,0,0,203231,192578,0,395809
29,0,0,203231,192578,0,395809
30,0,0,203231,192578,0,395809
31,0,0,203231,192578,0,395809
32,0,0,487544,583923,0,1071467
33,0,0,487544,583923,0,1071467
34,0,0,487544,583923,0,1071467
35,0,0,487544,583923,0,1071467
36,0,0,487544,583923,0,1071467
37,0,0,487544,583923,0,1071467
38,0,0,487544,583923,0,1071467
39,0,0,487544,583923,0,1071467
40,0,0,487544,583923,0,1071467
41,0,0,487544,583923,0,1071467
42,0,0,487544,583923,0,1071467
43,0,0,487544,583923,0,1071467
44,0,0,487544,583923,0,1071467
45,0,0,487544,583923,0,1071467
46,0,0,487544,583923,0,1071467
47,0,0,487544,583923,0,1071467
48,0,0,487544,583923,0,1071467
49,0,0,487544,583923,0,1071467
50,0,0,487544,583923,0,1071467
51,0,0,487544,583923,0,1071467
52,0,0,487544,583923,0,1071467
53,0,0,487544,583923,0,1071467
54,0,0,487544,583923,0,1071467
55,0,0,487544,583923,0,1071467
56,0,0,487544,583923,0,1071467
57,0,0,487544,583923,0,1071467
58,0,0,487544,583923,0,1071467
59,0,0,487544,583923,0,1071467
60,0,0,487544,583923,0,1071467
61,0,0,487544,583923,0,1071467
62,0,0,487544,583923,0,1071467
63,0,0,487544,583923,0,1071467
64,0,0,487544,583923,0,1071467
65,0,0,487544,583923,0,1071467
66,0,0,487544,583923,0,1071467
67,0,0,487544,583923,0,1071467
68,0,0,487544,583923,0,1071467
69,0,0,487544,583923,0,1071467
70,0,0,487544,583923,0,1071467
71,0,0,487544,583923,0,1071467
72,0,0,487544,583923,0,1071467
73,0,0,487544,583923,0,1071467
74,0,0,487544,583923,0,1071467
75,0,0,487544,583923,0,1071467
76,0,0,487544,583923,0,1071467
77,0,0,487544,583923,0,1071467
78,0,0,487544,583923,0,1071467
79,0,0,487544,583923,0,1071467
80,0,0,487544,583923,0,1071467
81,0,0,487544,583923,0,1071467
82,0,0,487544,583923,0,1071467
83,0,0,487544,583923,0,1071467
84,0,0,487544,583923,0,1071467
85,0,0,487544,583923,0,1071467
86,0,0,487544,583923,0,1071467
87,0,0,487544,583923,0,1071467
88,0,0,487544,583923,0,1071467
89,0,0,487544,583923,0,1071467
90,0,0,487544,583923,0,1071467
91,0,0,487544,583923,0,1071467
92,0,0,487544,583923,0,1071467
93,0,0,487544,583923,0,1071467
94,0,0,487544,583923,0,1071467
95,0,0,487544,583923,0,1071467
96,0,0,487544,583923,0,1071467
97,0,0,487544,583923,0,1071467
98,0,0,487544,583923,0,1071467
99,0,0,487544,583923,0,1071467
100,0,0,487544,583923,0,1071467
101,0,0,487544,583923,0,1071467
102,0,0,487544,583923,0,1071467
103,0,0,487544,583923,0,1071467
104,0,0,487544,583923,0,1071467
105,0,0,487544,583923,0,1071467
106,0,0,487544,583923,0,1071467
107,0,0,487544,583923,0,1071467
108,0,0,487544,583923,0,1071467
109,0,0,487544,583923,0,1071467
110,0,0,487544,583923,0,1071467
111,0,0,487544,583923,0,1071467
112,0,0,487544,583923,0,1071467
113,0,0,487544,583923,0,1071467
114,0,0,487544,583923,0,1071467
115,0,0,487544,583923,0,1071467
116,0,0,487544,583923,0,1071467
117,0,0,487544,583923,0,1071467
118,0,0,487544,583923,0,1071467
119,0,0,487544,583923,0,1071467
120,0,0,487544,583923,0,1071467
121,0,0,487544,583923,0,1071467
122,0,0,487544,583923,0,1071467
123,0,0,487544,583923,0,1071467
124,0,0,487544,583923,0,1071467
125,0,0,487544,583923,0,1071467
126,0,0,487544,583923,0,1071467
127,0,0,487544,583923,0,1071467
128,0,0,1188085,1621876,0,2809961
129,0,0,1188085,1621876,0,2809961
130,0,0,1188085,1621876,0,2809961
131,0,0,1188085,1621876,0,2809961
132,0,0,1188085,1621876,0,2809961
133,0,0,1188085,1621876,0,2809961
134,0,0,1188085,1621876,0,2809961
135,0,0,1188085,1621876,0,2809961
136,0,0,1188085,1621876,0,2809961
137,0,0,1188085,1621876,0,2809961
138,0,0,1188085,1621876,0,2809961
139,0,0,1188085,1621876,0,2809961
140,0,0,1188085,1621876,0,2809961
141,0,0,1188085,1621876,0,2809961
142,0,0,1188085,1621876,0,2809961
143,0,0,1188085,1621876,0,2809961
144,0,0,1188085,1621876,0,2809961
145,0,0,1188085,1621876,0,2809961
146,0,0,1188085,1621876,0,2809961
147,0,0,1188085,1621876,0,2809961
148,0,0,1188085,1621876,0,2809961
149,0,0,1188085,1621876,0,2809961
150,0,0,1188085,1621876,0,2809961
151,0,0,1188085,1621876,0,2809961
152,0,0,1188085,1621876,0,2809961
153,0,0,1188085,1621876,0,2809961
154,0,0,1188085,1621876,0,2809961
155,0,0,1188085,1621876,0,2809961
156,0,0,1188085,1621876,0,2809961
157,0,0,1188085,1621876,0,2809961
158,0,0,1188085,1621876,0,2809961
159,0,0,1188085,1621876,0,2809961
160,0,0,1188085,1621876,0,2809961
161,0,0,1188085,1621876,0,2809961
162,14645512,20412527,1188085,1621876,0,17455473
163,14645512,20412527,1188085,1621876,0,17455473
164,14645512,20412527,1188085,1621876,0,17455473
165,14645512,20412527,1188085,1621876,0,17455473
166,14645512,20412527,1188085,1621876,0,17455473
167,14645512,20412527,1188085,1621876,0,17455473
168,14645512,20412527,1188085,1621876,0,17455473
169,14645512,20412527,1188085,1621876,0,17455473
170,14645512,20412527,1188085,1621876,0,17455473
171,14645512,20412527,1188085,1621876,0,17455473
172,14645512,20412527,1188085,1621876,0,17455473
173,14645512,20412527,1188085,1621876,0,17455473
174,14645512,20412527,1188085,1621876,0,17455473
175,14645512,20412527,1188085,1621876,0,17455473
176,14645512,20412527,1188085,1621876,0,17455473
177,14645512,20412527,1188085,1621876,0,17455473
178,14645512,20412527,1188085,1621876,0,17455473
179,14645512,20412527,1188085,1621876,0,17455473
180,14645512,20412527,1188085,1621876,0,17455473
181,14645512,20412527,1188085,1621876,0,17455473
182,14645512,20412527,1188085,1621876,0,17455473
183,14645512,20412527,1188085,1621876,0,17455473
184,14645512,20412527,1188085,1621876,0,17455473
185,14645512,20412527,1188085,1621876,0,17455473
186,14645512,20412527,1188085,1621876,0,17455473
187,14645512,20412527,1188085,1621876,0,17455473
188,14645512,20412527,1188085,1621876,0,17455473
189,14645512,20412527,1188085,1621876,0,17455473
190,14645512,20412527,1188085,1621876,0,17455473
191,14645512,20412527,1188085,1621876,0,17455473
192,14645512,20412527,1188085,1621876,0,17455473
193,14645512,20412527,1188085,1621876,0,17455473
194,14645512,20412527,1188085,1621876,0,17455473
195,14645512,20412527,1188085,1621876,0,17455473
196,14645512,20412527,1188085,1621876,0,17455473
197,14645512,20412527,1188085,1621876,0,17455473
198,14645512,20412527,1188085,1621876,0,17455473
199,14645512,20412527,1188085,1621876,0,17455473
200,14645512,20412527,1188085,1621876,0,17455473
201,14645512,20412527,1188085,1621876,0,17455473
